All Ordinaries Index (1 February 2017),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
NAN,Nanosonics Limited,Health Care,"857,471,000",0.05,,,
NCK,Nick Scali Limited,Consumer Discretionary,"533,790,000",0.03,,,
NCM,Newcrest Mining Limited,Materials,"16,622,800,000",0.96,,,
NEA,Nearmap LTD,Information Technology,"230,673,000",0.01,,,
NEC,Nine Entertainment Co. Holdings Limited,Consumer Discretionary,"880,087,000",0.05,,,
NEU,Neuren Pharmaceuticals Limited NZ,Health Care,"130,811,000",0.01,,,
NHC,New Hope Corporation Limited,Energy,"1,329,710,000",0.08,,,
NHF,Nib Holdings Limited,Financials,"2,028,200,000",0.12,,,
NSR,National Storage Reit Stapled,Real Estate,"722,081,000",0.04,,,
NST,Northern Star Resources LTD,Materials,"2,306,080,000",0.13,,,
NTC,Netcomm Wireless Limited,Information Technology,"259,004,000",0.01,,,
NUF,Nufarm Limited,Materials,"2,382,640,000",0.14,,,
NVT,Navitas Limited,Consumer Discretionary,"1,613,400,000",0.09,,,
NWF,Newfield Resources Limited,Materials,"58,651,700",0,,,
NWS,News Corporation. B Voting,Consumer Discretionary,"708,232,000",0.04,,,
NXT,Nextdc Limited,Information Technology,"889,147,000",0.05,,,
NZM,Nzme Limited NZX,Consumer Discretionary,"126,427,000",0.01,,,
OBJ,OBJ Limited,Health Care,"113,635,000",0.01,,,
OCL,Objective Corporation Limited,Information Technology,"213,121,000",0.01,,,
OFX,OFX Group Limited,Financials,"304,800,000",0.02,,,
OGC,Oceanagold Corporation Cdi 1:1,Materials,"2,781,490,000",0.16,,,
OML,Ooh!media Limited,Consumer Discretionary,"738,621,000",0.04,,,
ONT,1300 Smiles Limited,Health Care,"178,772,000",0.01,,,
ORA,Orora Limited,Materials,"3,439,050,000",0.2,,,
ORE,Orocobre Limited,Materials,"868,624,000",0.05,,,
ORG,Origin Energy Limited,Energy,"12,635,300,000",0.73,,,
ORI,Orica Limited,Materials,"7,034,490,000",0.41,,,
ORL,Orotongroup Limited,Consumer Discretionary,"71,337,200",0,,,
OSH,Oil Search Limited 10T,Energy,"10,628,400,000",0.61,,,
OVH,Onevue Holdings Limited,Financials,"155,369,000",0.01,,,
OZL,Oz Minerals Limited,Materials,"2,770,680,000",0.16,,,
PAC,Pacific Current Group Limited,Financials,"140,630,000",0.01,,,
PDN,Paladin Energy LTD,Energy,"214,105,000",0.01,,,
PEA,Pacific Energy Limited,Utilities,"264,700,000",0.02,,,
PEN,Peninsula Energy Limited,Energy,"139,658,000",0.01,,,
PEP,Pepper Group Limited,Financials,"462,165,000",0.03,,,
PGC,Paragon Care Limited,Health Care,"133,324,000",0.01,,,
PGH,Pact Group Holdings LTD,Materials,"1,951,010,000",0.11,,,
PHG,Pulse Health Limited,Health Care,"115,686,000",0.01,,,
PHI,Phileo Australia Limited,Real Estate,"235,755,000",0.01,,,
PLS,Pilbara Minerals Limited,Materials,"681,721,000",0.04,,,
PME,Pro Medicus Limited,Health Care,"488,664,000",0.03,,,
PMP,PMP Limited,Industrials,"205,221,000",0.01,,,
PMV,Premier Investments Limited,Consumer Discretionary,"2,005,680,000",0.12,,,
PNI,Pinnacle Investment Management Group Limited,Financials,"417,757,000",0.02,,,
PNV,Polynovo Limited,Health Care,"154,838,000",0.01,,,
PPC,Peet Limited,Real Estate,"504,680,000",0.03,,,
PPG,Pro-pac Packaging Limited,Materials,"111,215,000",0.01,,,
PPS,Praemium Limited,Information Technology,"182,685,000",0.01,,,
PPT,Perpetual Limited,Financials,"2,150,340,000",0.12,,,
PRG,Programmed Maintenance Services Limited,Industrials,"486,326,000",0.03,,,
PRO,Prophecy International Holdings Limited,Information Technology,"60,169,200",0,,,
